"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","19","0","0"
"","Del item","","0","0","1","0","0"
"","Auth","","0","0","1","0","0"
"","Add item","","0","0","1","0","0"
